first_name,last_name,round,teetime,pos,round1.topar,topar,total,round1.total,hole01,hole02,hole03,hole04,hole05,hole06,hole07,hole08,hole09,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,round2.topar,round2.total,round3.topar,round3.total,round4.topar,round4.total
Ian,Woosnam,1,NA,NA,NA,+12,156,80,4,5,4,4,5,3,5,5,4,4,8,4,6,5,4,2,4,4,NA,NA,NA,NA,NA,NA
Jose Maria,Olazabal,1,NA,NA,NA,+13,157,78,4,7,4,3,4,3,4,5,4,4,5,3,5,4,5,5,4,5,NA,NA,NA,NA,NA,NA
Angel,Cabrera,1,NA,NA,NA,+13,157,82,5,5,3,4,5,4,5,6,4,5,5,4,5,5,5,4,4,4,NA,NA,NA,NA,NA,NA
Tiger,Woods,2,9:20 AM,1,NA,-13,275,NA,4,5,4,2,5,2,4,6,3,4,3,3,5,3,4,3,4,4,-2,68,NA,NA,NA,NA
Dustin,Johnson,2,8:47 AM,T2,NA,-12,276,NA,5,5,4,3,4,3,4,5,4,3,4,3,4,4,4,3,4,4,-4,70,NA,NA,NA,NA
Xander,Schauffele,2,8:58 AM,T2,NA,-12,276,NA,5,4,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,3,-4,65,NA,NA,NA,NA
Brooks,Koepka,2,9:09 AM,T2,NA,-12,276,NA,3,7,3,4,4,4,4,4,4,4,4,3,5,4,4,3,4,3,-2,71,NA,NA,NA,NA
Jason,Day,2,8:14 AM,T5,NA,-11,277,NA,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,2,4,4,-5,67,NA,NA,NA,NA
Webb,Simpson,2,9:09 AM,T5,NA,-11,277,NA,4,4,4,3,4,3,4,4,4,5,4,3,5,4,5,3,4,4,-2,71,NA,NA,NA,NA
Francesco,Molinari,2,9:20 AM,T5,NA,-11,277,NA,4,5,3,3,4,3,4,4,3,4,4,2,5,4,4,3,4,4,+2,67,NA,NA,NA,NA
Tony,Finau,2,9:20 AM,T5,NA,-11,277,NA,4,5,4,3,4,3,4,4,5,3,4,3,5,4,4,3,4,4,E,70,NA,NA,NA,NA
Jon,Rahm,2,8:25 AM,T9,NA,-10,278,NA,4,4,3,3,4,3,4,5,4,4,4,3,5,4,5,3,4,4,-4,70,NA,NA,NA,NA
Patrick,Cantlay,2,8:36 AM,T9,NA,-10,278,NA,4,5,4,3,5,3,4,4,4,4,4,3,4,5,5,3,4,5,-4,73,NA,NA,NA,NA
Rickie,Fowler,2,8:47 AM,T9,NA,-10,278,NA,4,5,5,3,4,2,4,4,4,4,5,3,5,4,4,3,4,4,-3,71,NA,NA,NA,NA
Bubba,Watson,2,8:14 AM,T12,NA,-8,280,NA,4,4,4,3,5,3,4,5,4,4,4,4,3,4,5,3,5,4,-3,72,NA,NA,NA,NA
Justin,Thomas,2,8:25 AM,T12,NA,-8,280,NA,4,4,4,3,4,2,4,4,4,4,4,3,5,4,3,3,4,5,-2,68,NA,NA,NA,NA
Matt,Kuchar,2,8:58 AM,T12,NA,-8,280,NA,5,4,4,2,4,2,5,4,4,5,4,3,3,5,4,3,4,4,E,69,NA,NA,NA,NA
Justin,Harding,2,8:58 AM,T12,NA,-8,280,NA,4,5,4,3,4,3,4,5,4,5,4,2,4,3,4,3,3,5,E,69,NA,NA,NA,NA
Ian,Poulter,2,9:09 AM,T12,NA,-8,280,NA,5,4,4,3,4,3,4,5,4,4,4,2,4,5,5,3,4,4,+1,71,NA,NA,NA,NA
Aaron,Wise,2,7:30 AM,17,NA,-7,281,NA,4,4,4,3,5,3,4,4,5,4,5,3,5,3,4,3,4,4,-5,71,NA,NA,NA,NA
Patton,Kizzire,2,7:41 AM,T18,NA,-6,282,NA,5,4,4,3,4,3,4,5,4,4,4,3,5,3,5,3,4,3,-3,70,NA,NA,NA,NA
Phil,Mickelson,2,8:25 AM,T18,NA,-6,282,NA,4,4,4,3,5,3,4,6,3,5,4,3,4,4,5,3,5,4,E,73,NA,NA,NA,NA
Adam,Scott,2,8:36 AM,T18,NA,-6,282,NA,4,5,4,3,4,3,4,4,4,4,4,2,4,4,3,4,4,4,+1,68,NA,NA,NA,NA
Si Woo,Kim,2,7:30 AM,T21,NA,-5,283,NA,4,5,4,3,5,3,5,4,4,5,4,2,5,4,4,4,3,4,-3,72,NA,NA,NA,NA
Kyle,Stanley,2,7:30 AM*,T21,NA,-5,283,NA,4,5,4,3,5,3,5,4,4,4,4,3,4,4,5,3,4,4,-3,72,NA,NA,NA,NA
Matthew,Fitzpatrick,2,7:41 AM,T21,NA,-5,283,NA,4,4,4,3,4,3,4,5,4,5,4,2,3,4,4,2,4,4,-2,67,NA,NA,NA,NA
Kevin,Kisner,2,7:41 AM*,T21,NA,-5,283,NA,4,5,4,3,4,4,4,5,5,4,5,3,5,4,4,2,4,4,-3,73,NA,NA,NA,NA
Rory,McIlroy,2,7:52 AM*,T21,NA,-5,283,NA,4,6,4,3,4,2,4,3,4,4,5,3,6,4,5,2,4,4,-4,71,NA,NA,NA,NA
Jordan,Spieth,2,8:03 AM,T21,NA,-5,283,NA,5,4,4,3,4,3,4,5,3,3,4,3,4,3,5,3,4,4,-1,68,NA,NA,NA,NA
Lucas,Bjerregaard,2,8:14 AM,T21,NA,-5,283,NA,5,5,4,3,4,3,4,4,4,4,4,3,5,4,3,4,4,5,E,72,NA,NA,NA,NA
Thorbjorn,Olesen,2,8:36 AM,T21,NA,-5,283,NA,4,5,3,3,5,3,4,5,4,4,4,3,4,4,4,3,5,4,+1,71,NA,NA,NA,NA
Charley,Hoffman,2,7:30 AM*,T29,NA,-4,284,NA,3,5,4,3,5,3,4,5,3,4,4,4,4,5,4,3,4,4,-2,71,NA,NA,NA,NA
Bryson,DeChambeau,2,7:41 AM*,T29,NA,-4,284,NA,4,4,4,3,4,3,5,4,5,6,4,4,5,4,4,4,4,4,-2,75,NA,NA,NA,NA
Louis,Oosthuizen,2,8:47 AM,T29,NA,-4,284,NA,3,5,4,2,4,2,3,6,4,4,4,2,4,4,4,3,4,4,+4,66,NA,NA,NA,NA
Viktor,Hovland,2,7:30 AM*,T32,NA,-3,285,NA,4,4,4,4,5,3,4,5,4,3,5,3,3,4,5,3,4,4,-1,71,NA,NA,NA,NA
